,mic_pair,mean_cosine_distance,mean_cosine_similarity,id,exercise
39,1-2,0.24421101238419418,0.7557889876158058,69,VOW_e
40,1-3,0.1730589573208332,0.8269410426791668,69,VOW_e
41,2-3,0.2928695151472871,0.7071304848527129,69,VOW_e
42,1-2,0.17357437393454855,0.8264256260654514,70,VOW_e
43,1-3,0.12879968127737018,0.8712003187226298,70,VOW_e
44,2-3,0.2614997590121767,0.7385002409878233,70,VOW_e
45,1-2,0.45764561031654793,0.5423543896834521,71,VOW_e
46,1-3,0.30708047379865333,0.6929195262013467,71,VOW_e
47,2-3,0.5761888923800047,0.42381110761999535,71,VOW_e
48,1-2,0.3708842701697711,0.6291157298302289,72,VOW_e
49,1-3,0.23243187862141212,0.7675681213785879,72,VOW_e
50,2-3,0.3419361276413333,0.6580638723586667,72,VOW_e
51,1-2,0.0644129736054222,0.9355870263945778,73,VOW_e
52,1-3,0.43341773158761676,0.5665822684123832,73,VOW_e
53,2-3,0.4301333001278492,0.5698666998721508,73,VOW_e
54,1-2,0.46646035474289194,0.5335396452571081,74,VOW_e
55,1-3,0.10781227124521087,0.8921877287547891,74,VOW_e
56,2-3,0.39946647336046004,0.60053352663954,74,VOW_e
57,1-2,0.27815117282916546,0.7218488271708345,75,VOW_e
58,1-3,0.884271341467803,0.11572865853219703,75,VOW_e
59,2-3,1.148507211488789,-0.14850721148878904,75,VOW_e
60,1-2,0.3753670096460229,0.6246329903539771,76,VOW_e
61,1-3,0.6686449006783677,0.33135509932163226,76,VOW_e
62,2-3,0.5974508037190902,0.40254919628090985,76,VOW_e
63,1-2,0.07591752237871063,0.9240824776212894,77,VOW_e
64,1-3,0.1626704379700663,0.8373295620299337,77,VOW_e
65,2-3,0.25583169123247373,0.7441683087675263,77,VOW_e
66,1-2,0.2791483899651752,0.7208516100348248,67,VOW_i
67,1-3,0.08940155672147143,0.9105984432785286,67,VOW_i
68,2-3,0.19206850894519933,0.8079314910548007,67,VOW_i
69,1-2,0.5505058239107998,0.4494941760892001,68,VOW_i
70,1-3,0.6538802448029802,0.34611975519701976,68,VOW_i
71,2-3,1.041051866395735,-0.041051866395735076,68,VOW_i
72,1-2,0.29737928278261394,0.7026207172173861,69,VOW_i
73,1-3,0.42159124623143485,0.5784087537685652,69,VOW_i
74,2-3,0.15319689258767255,0.8468031074123274,69,VOW_i
75,1-2,0.1029700982931745,0.8970299017068255,70,VOW_i
76,1-3,0.14779046983913458,0.8522095301608654,70,VOW_i
77,2-3,0.17767464444306746,0.8223253555569325,70,VOW_i
78,1-2,0.873734109680203,0.126265890319797,71,VOW_i
79,1-3,0.2678174331800097,0.7321825668199903,71,VOW_i
80,2-3,1.1094432772918832,-0.1094432772918831,71,VOW_i
81,1-2,0.24120646375213728,0.7587935362478627,72,VOW_i
82,1-3,0.15674327787980047,0.8432567221201995,72,VOW_i
83,2-3,0.1744620085366162,0.8255379914633838,72,VOW_i
84,1-2,0.07884143455211157,0.9211585654478884,73,VOW_i
85,1-3,0.1498516839427836,0.8501483160572164,73,VOW_i
86,2-3,0.20614459001837093,0.7938554099816291,73,VOW_i
87,1-2,0.42372747841233116,0.5762725215876688,74,VOW_i
88,1-3,0.15392234994241027,0.8460776500575897,74,VOW_i
89,2-3,0.3714007909879038,0.6285992090120962,74,VOW_i
90,1-2,0.49113549990365735,0.5088645000963427,75,VOW_i
91,1-3,0.35303191344642415,0.6469680865535758,75,VOW_i
92,2-3,0.3977819891588076,0.6022180108411924,75,VOW_i
93,1-2,0.586018053378439,0.41398194662156096,76,VOW_i
94,1-3,0.7846110767487068,0.21538892325129325,76,VOW_i
95,2-3,0.9560356817461215,0.04396431825387842,76,VOW_i
96,1-2,0.22707689831361977,0.7729231016863802,77,VOW_i
97,1-3,0.3243393028794048,0.6756606971205952,77,VOW_i
98,2-3,0.5324548570884253,0.4675451429115747,77,VOW_i
