,mic_pair,mean_cosine_distance,mean_cosine_similarity,id,exercise
155,2-3,0.4632758626033293,0.5367241373966707,75,VOW_i
186,1-2,0.2551627252054429,0.7448372747945571,75,VOW_o
187,1-3,0.397553739035268,0.602446260964732,75,VOW_o
188,2-3,0.5515113388352864,0.4484886611647136,75,VOW_o
219,1-2,0.2551752331623532,0.7448247668376468,75,VOW_u
220,1-3,0.3675040676672714,0.6324959323327286,75,VOW_u
221,2-3,0.6838232756346065,0.3161767243653935,75,VOW_u
24,1-2,0.750960811901479,0.249039188098521,76,SEN
25,1-3,0.8263976130673933,0.1736023869326067,76,SEN
26,2-3,1.0493393087079028,-0.0493393087079028,76,SEN
57,1-2,0.4736275766657661,0.5263724233342338,76,SPN
58,1-3,0.949238524577957,0.050761475422043,76,SPN
59,2-3,1.000270942775762,-0.0002709427757618,76,SPN
90,1-2,0.6368614804575018,0.3631385195424982,76,VOW_a
91,1-3,0.7495487061104308,0.2504512938895692,76,VOW_a
92,2-3,0.8366512242566103,0.1633487757433897,76,VOW_a
123,1-2,0.3710603096737019,0.628939690326298,76,VOW_e
124,1-3,0.6512490296745552,0.3487509703254448,76,VOW_e
125,2-3,0.5687981083320146,0.4312018916679854,76,VOW_e
156,1-2,0.5867249504309601,0.4132750495690399,76,VOW_i
157,1-3,0.8394882306427354,0.1605117693572647,76,VOW_i
158,2-3,0.9855463284547864,0.0144536715452136,76,VOW_i
189,1-2,0.5370081511096061,0.4629918488903939,76,VOW_o
190,1-3,0.7647567008684933,0.2352432991315066,76,VOW_o
191,2-3,0.7741553503458103,0.2258446496541897,76,VOW_o
222,1-2,0.5553575426116915,0.4446424573883085,76,VOW_u
223,1-3,0.77908524834108,0.2209147516589201,76,VOW_u
224,2-3,0.5897423400161597,0.4102576599838404,76,VOW_u
27,1-2,0.4106563783082374,0.5893436216917626,77,SEN
28,1-3,0.6534836413104166,0.3465163586895834,77,SEN
29,2-3,0.593089928477635,0.4069100715223649,77,SEN
60,1-2,0.5197576078513835,0.4802423921486166,77,SPN
61,1-3,0.4413003324948056,0.5586996675051944,77,SPN
62,2-3,0.6889358907211813,0.3110641092788187,77,SPN
93,1-2,0.4916192288293451,0.5083807711706548,77,VOW_a
94,1-3,0.4355046723580505,0.5644953276419494,77,VOW_a
95,2-3,0.717235206379174,0.2827647936208259,77,VOW_a
126,1-2,0.0772154988042804,0.9227845011957196,77,VOW_e
127,1-3,0.1720479547378441,0.8279520452621558,77,VOW_e
128,2-3,0.2668608173148027,0.7331391826851973,77,VOW_e
159,1-2,0.2286187774412322,0.7713812225587677,77,VOW_i
160,1-3,0.3537380964032746,0.6462619035967254,77,VOW_i
161,2-3,0.5644389859487242,0.4355610140512757,77,VOW_i
192,1-2,0.294903662193555,0.705096337806445,77,VOW_o
193,1-3,0.3278702253783412,0.6721297746216588,77,VOW_o
194,2-3,0.6601666864433258,0.3398333135566743,77,VOW_o
225,1-2,0.1096730219226339,0.890326978077366,77,VOW_u
226,1-3,0.5417448749872245,0.4582551250127756,77,VOW_u
227,2-3,0.5406832994425763,0.4593167005574236,77,VOW_u
